,video_id,scene_id,duration
688,01,001,29.309
689,01,002,29.975
690,01,003,29.591
691,01,004,30.479
692,01,005,30.297
693,01,006,29.914
694,01,007,29.914
718,02,002,23.291
719,02,003,31.179
294,02,004,30.413
284,02,005,31.138
285,02,006,30.889
286,02,007,31.2
287,02,008,31.014
288,02,009,30.745
127,03,001,19.99
128,03,002,20.27
129,03,003,20.45
130,03,004,20.21
65,03,005,20.39
555,03,006,19.85
556,03,007,20.31
557,03,008,20.29
558,03,009,20.25
559,03,010,20.33
560,03,011,20.73
561,03,012,21.29
562,03,013,18.429
636,04,001,20.187
637,04,002,20.447
638,04,003,21.167
55,04,004,20.427
222,04,005,23.808
223,04,006,18.566
224,04,007,18.466
225,04,008,22.227
226,04,009,19.086
227,04,010,18.506
228,04,011,21.047
453,05,001,19.81
454,05,002,20.789
455,05,003,20.529
456,05,004,19.65
457,05,005,20.19
458,05,006,20.37
459,05,007,20.829
460,05,008,20.23
461,05,009,19.49
462,05,010,20.449
56,06,001,20.306
57,06,003,21.928
58,06,004,18.544
59,06,005,20.426
60,06,006,20.366
61,06,007,20.586
603,07,001,30.473
604,07,003,31.853
473,07,004,19.376
41,07,005,20.716
42,07,006,19.036
43,07,007,21.555
44,07,008,20.416
45,07,009,20.256
46,07,010,22.915
477,08,001,17.473
35,08,003,20.104
36,08,004,22.433
37,08,005,23.096
38,08,006,17.654
39,08,007,17.553
40,09,001,21.16
478,09,002,23.144
47,09,003,27.381
48,09,004,15.045
49,09,005,22.93
50,09,006,25.477
0,10,001,24.164
1,10,002,17.837
2,10,003,19.485
3,10,004,19.671
4,10,005,21.373
5,10,006,18.927
6,10,007,21.32
492,11,001,31.972
493,11,002,29.963
494,11,003,30.385
495,11,004,30.405
496,11,005,30.164
497,11,006,30.325
498,11,007,30.285
499,11,008,30.144
139,12,003,27.981
140,12,005,29.65
141,12,006,29.751
142,12,007,30.616
143,12,008,30.676
31,12,009,30.334
144,12,010,30.777
145,12,011,30.294
146,12,012,30.897
147,12,013,30.233
148,12,014,30.555
149,12,015,30.193
150,12,016,30.314
151,12,017,24.722
88,13,001,30.508
89,13,002,30.508
90,13,003,30.508
91,13,004,30.828
92,13,005,30.187
93,13,006,28.002
94,13,008,60.173
95,13,009,30.908
96,13,010,29.806
32,13,011,30.668
176,14,002,15.633
177,14,003,15.413
178,14,004,15.393
179,14,005,15.513
180,14,006,15.013
181,14,007,15.453
33,14,008,15.273
163,14,009,15.413
164,14,010,15.213
165,14,011,15.253
166,14,012,15.453
167,14,013,15.333
168,14,014,15.193
169,14,015,15.333
170,14,016,15.273
171,14,018,15.273
34,14,019,15.353
172,15,001,15.575
173,15,003,15.915
174,15,005,15.334
175,15,006,15.314
52,15,007,15.414
301,15,008,15.234
302,15,009,15.274
303,15,010,15.114
304,15,012,16.756
305,15,013,15.114
306,15,014,15.795
307,15,016,15.414
308,15,018,15.474
309,15,019,15.575
310,15,020,15.314
311,16,002,30.567
312,16,003,30.263
313,16,005,22.312
314,16,006,30.121
315,16,007,31.054
316,16,008,29.512
317,16,009,30.446
623,17,001,30.506
624,17,002,30.406
625,17,003,30.266
626,17,004,29.925
627,17,005,30.386
628,17,006,30.587
629,17,007,30.266
630,17,008,30.186
615,18,001,30.282
616,18,002,30.222
617,18,003,30.342
618,18,004,30.342
619,18,005,30.442
620,18,006,30.502
621,18,007,30.422
622,18,008,30.522
508,18,009,30.121
372,19,001,30.47
373,19,002,30.369
374,19,003,30.288
375,19,004,21.125
376,19,005,19.736
377,19,006,20.199
378,19,007,21.186
509,19,008,28.496
685,19,009,31.295
686,19,010,30.369
687,19,012,37.921
500,20,001,31.04
501,20,002,29.852
502,20,003,30.416
503,20,004,30.335
504,20,005,30.416
505,20,006,29.973
506,20,007,30.295
507,20,008,30.335
512,21,001,15.13
513,21,002,31.002
510,21,004,15.371
434,21,005,15.311
435,21,006,15.17
436,21,007,15.371
437,21,008,15.512
438,21,010,15.431
439,21,011,15.23
440,21,012,15.19
441,21,013,15.411
442,21,014,15.351
443,21,015,15.15
444,21,016,15.27
427,22,001,30.078
428,22,002,30.279
429,22,003,30.439
430,22,004,29.616
431,22,005,30.459
432,22,006,30.459
433,22,007,30.399
511,22,008,29.897
379,22,009,30.459
380,22,010,30.379
381,22,011,30.339
382,22,012,30.319
383,22,013,30.299
384,22,014,30.339
106,23,0001,15.137
107,23,0002,15.237
108,23,0003,15.297
53,23,0004,15.217
131,24,001,30.752
132,24,002,30.23
133,24,003,30.21
134,24,004,30.411
135,24,005,30.27
136,24,006,30.35
137,24,007,30.411
138,24,008,30.391
289,24,009,29.768
514,24,010,30.29
515,25,001,29.836
516,25,002,30.481
517,25,003,30.562
518,25,004,29.917
519,25,005,30.663
520,25,006,30.381
521,25,007,30.381
522,25,008,30.622
290,26,004,26.009
295,26,080,22.839
296,26,082,30.351
297,26,083,30.755
298,26,084,30.472
299,26,085,30.452
300,26,086,29.078
695,27,002,29.871
696,27,003,30.293
697,27,004,30.273
698,27,005,30.173
699,27,006,30.253
700,27,007,30.092
701,27,008,29.529
291,28,001,30.257
523,28,002,30.559
524,28,003,30.6
525,28,004,30.056
526,28,005,30.438
527,28,006,30.217
528,28,007,30.358
702,29,003,15.578
703,29,011,15.619
704,29,012,15.659
705,29,013,15.537
706,29,014,15.68
707,29,015,15.558
292,29,016,15.436
708,29,024,15.497
709,29,025,15.741
710,29,026,15.436
711,29,027,15.619
712,29,028,15.436
293,29,029,15.619
713,29,034,15.822
714,29,035,15.497
715,29,041,15.415
716,29,042,15.578
717,29,043,15.517
51,30,001,30.334
54,30,002,30.334
318,31,001,22.507
319,31,002,21.288
320,31,003,22.822
321,31,004,23.999
322,31,005,22.549
323,31,006,24.23
324,32,002,29.805
325,32,003,30.088
326,32,004,30.412
327,32,005,29.441
64,32,006,30.028
529,32,007,30.351
530,32,008,29.603
531,32,009,29.482
532,33,002,29.289
533,33,003,30.338
534,33,004,30.479
535,33,005,29.127
536,33,006,29.773
537,33,007,29.793
538,33,008,30.418
539,33,009,29.733
590,34,001,29.458
591,34,002,30.042
592,34,003,60.406
593,34,004,30.767
594,34,005,30.103
595,34,006,30.083
596,34,007,29.378
23,35,002,23.898
24,35,003,30.779
25,35,004,32.179
26,35,005,30.902
27,35,006,32.2
28,35,007,30.964
29,35,008,29.81
30,35,009,30.387
97,36,001,29.103
98,36,002,30.473
99,36,003,30.009
100,36,004,29.627
101,36,005,30.311
102,36,006,29.748
103,36,007,30.473
104,36,008,30.07
105,36,009,30.05
540,37,001,30.273
541,37,002,30.253
542,37,003,30.152
543,37,004,29.604
544,37,005,29.502
545,37,007,24.004
546,37,008,29.827
547,38,001,29.51
548,38,002,29.67
549,38,003,29.811
550,38,004,29.751
551,38,005,30.293
552,38,006,30.714
553,38,007,29.951
554,38,008,30.413
121,39,001,29.595
122,39,002,29.979
123,39,003,30.223
124,39,004,29.635
125,39,005,30.769
126,39,006,30.04
210,40,001,30.342
211,40,002,29.778
212,40,003,29.456
213,40,004,29.335
214,40,005,29.637
215,40,006,29.597
216,41,001,29.573
217,41,002,30.075
218,41,003,29.954
219,41,004,30.255
220,41,005,29.774
221,41,006,30.195
109,42,002,24.32
110,42,003,30.934
111,42,004,31.266
112,42,005,30.478
113,42,006,31.204
114,42,007,31.162
115,42,008,31.162
116,43,002,29.151
117,43,003,29.514
118,43,004,29.897
119,43,005,30.3
120,43,006,30.058
66,43,007,30.32
563,44,002,29.226
564,44,003,29.976
565,44,004,29.59
566,44,005,29.753
567,44,006,29.732
568,45,002,29.58
569,45,003,30.006
570,45,004,30.512
571,45,005,30.289
572,45,006,30.249
262,46,003,15.237
263,46,004,15.076
264,46,005,15.016
265,46,006,15.217
266,46,008,15.338
267,46,009,15.056
268,46,010,15.097
269,46,011,15.157
270,46,012,15.117
271,46,013,15.056
18,47,002,15.764
19,47,003,15.383
20,47,004,15.202
21,47,005,15.021
22,47,006,15.142
67,47,007,15.644
7,47,009,15.081
8,47,010,15.102
9,47,011,15.081
10,47,012,15.122
11,47,013,15.041
12,47,014,15.162
13,48,002,24.597
14,48,003,31.107
15,48,004,31.233
16,48,005,31.149
17,48,006,31.254
68,48,007,31.463
631,49,001,30.955
632,49,002,28.712
633,49,003,30.086
634,49,004,30.692
635,49,005,30.147
605,50,003,23.912
606,50,004,32.104
607,50,005,31.828
608,50,007,19.391
609,51,001,24.395
610,51,002,31.236
611,51,003,31.215
612,51,004,31.32
613,51,005,31.257
614,51,006,31.383
69,52,001,24.441
70,52,002,15.601
71,52,003,15.663
72,52,004,15.559
73,52,005,15.497
